"Country","Year","agriculture","industry","services"
"China","2000",14.6762416552997,45.5361031778302,39.7876551668702
"China","2001",13.9834613523738,44.7934123391107,41.2231263086057
"China","2002",13.3014877128561,44.4505675332698,42.247944753874
"China","2003",12.3489989653686,45.6227848489919,42.0282161856395
"China","2004",12.9166481669765,45.9002116666079,41.1831401664774
"China","2005",11.6414956027145,47.0225784804294,41.3359259168561
"China","2006",10.6257605277639,47.5573975651593,41.8168419070768
"China","2007",10.2461657564115,46.8841692341344,42.8696650094171
"China","2008",10.1690478479035,46.9711723611891,42.8597797909074
"China","2009",9.63618551437518,45.9571472861589,44.4066671994659
"China","2010",9.32517694051016,46.49783113806,44.1769919214299
"China","2011",9.17765379536496,46.5292894700402,44.2930567345949
"China","2012",9.11371387028895,45.4229807420749,45.4633053876361
"China","2013",8.94289396224998,44.1767045363061,46.880401501444
"China","2014",8.64349139625268,43.0855681094018,48.2709404943455
"China","2015",8.38701488211979,40.8413399694486,50.7716451484316
"China","2016",8.05728753470259,39.5806215023494,52.362090962948
"China","2017",7.46356501656963,39.8516984492442,52.6847365341862
"China","2018",7.04302025319932,39.6870118233949,53.2699679234166
"China","2019",7.14369027760279,38.5874054560351,54.2689042663621
"China","2020",7.69864251697224,37.8428263745761,54.4585311084516
"India","2000",21.6110620462091,27.3258283772087,42.7329266429546
"India","2001",21.6188848861438,26.4877773440307,43.8089612629881
"India","2002",19.5345432711113,27.6606541610101,44.7288275541304
"India","2003",19.5919979784953,27.4741071212972,44.7046456533001
"India","2004",17.8146906487994,29.219106305293,44.1148589722471
"India","2005",17.6202069549809,29.5337641916264,44.4429329227498
"India","2006",16.8094420943591,30.9272399436779,44.04323571149
"India","2007",16.7501197597911,30.90323825115,44.0081579239144
"India","2008",16.7909423598037,31.1367192407735,45.8825499070063
"India","2009",16.7442701565521,31.1213721113498,45.9848828119145
"India","2010",17.0265090139755,30.725078228098,45.0337495626191
"India","2011",17.1919735574371,30.161679763031,45.4421452506927
"India","2012",16.8453770626196,29.3985276906689,46.3011472886635
"India","2013",17.1484235435488,28.4048995601154,46.6987147694147
"India","2014",16.7919345145779,27.6564012029549,47.8224137558788
"India","2015",16.1745081066222,27.34739147794,47.7837481204463
"India","2016",16.3638005613732,26.6189999400439,47.7494012899424
"India","2017",16.5583314047019,26.500016646713,47.6708899684137
"India","2018",16.0316306863431,26.412091901691,48.4315663154935
"India","2019",16.729204706558,24.5964578828891,50.1076689173459
"India","2020",18.2289275679865,24.5310661885805,48.4368567725012
"Indonesia","2000",15.6787044387708,41.9690746433564,33.3686365074031
"Indonesia","2001",15.9949177621389,47.8935007853871,38.4172452290621
"Indonesia","2002",16.3196689664379,47.7453311592597,40.104784004948
"Indonesia","2003",15.1853482186248,43.7495660917608,41.0650856896144
"Indonesia","2004",14.3357802955642,44.6276159754602,41.0366037289756
"Indonesia","2005",13.1266186400506,46.5410588710711,40.3323224888783
"Indonesia","2006",12.9738027192484,46.9435587410796,40.0826385396719
"Indonesia","2007",13.7166831034562,46.7991415207073,39.4841753758365
"Indonesia","2008",14.4817402607761,48.0607447690172,37.457515026462
"Indonesia","2009",15.290148146172,47.6521225811621,37.0577298834625
"Indonesia","2010",13.929212707137,42.7758663362749,40.6659902908934
"Indonesia","2011",13.5122870743946,43.9134234267133,40.5846042111279
"Indonesia","2012",13.3739742350727,43.5937444233376,40.8733748934867
"Indonesia","2013",13.3566991621949,42.6356774375889,41.5165374799893
"Indonesia","2014",13.3367549992146,41.9283421270033,42.2421853142869
"Indonesia","2015",13.4926435578886,40.0478624042506,43.3090809246806
"Indonesia","2016",13.4787485470271,39.3084439802081,43.6417488094502
"Indonesia","2017",13.1566308462661,39.3791548040237,43.6140553296427
"Indonesia","2018",12.8084975586902,39.7297374523848,43.4048373057688
"Indonesia","2019",12.7126026577522,38.9517679950779,44.220745839176
"Indonesia","2020",13.7024660064027,38.2516051688632,44.3959193594644
"Japan","2000",1.5178803390325,32.5135870554896,66.0206414543262
"Japan","2001",1.36750619152798,30.9812266965407,67.0662812781022
"Japan","2002",1.37649059914159,30.2226000788974,68.3328608006388
"Japan","2003",1.29902822421038,30.0789207597555,68.7153581340561
"Japan","2004",1.23095748420526,29.9669305435635,68.9896824882617
"Japan","2005",1.11162940578642,29.8717070448265,69.4739647063861
"Japan","2006",1.08249674589504,29.6655718124813,69.4497937291725
"Japan","2007",1.05336413232639,29.5972958103344,69.5604171252242
